"","Feature","Gain","Cover","Frequence","RealCover","RealCover %"
"86","num_var12_0",7.92553644280477e-05,2.70534264631289e-05,0.000149543891132047,106,0.0352393617021277
"115","num_var7_recib_ult1",7.4951380358522e-05,0.000341597360470661,0.000149543891132047,15,0.00498670212765957
"85","num_var1_0",6.45118867983362e-05,7.64589778510108e-06,7.47719455660236e-05,36,0.011968085106383
"100","num_var31_0",6.44217310948163e-05,0.000364102927113753,0.000149543891132047,8,0.00265957446808511
"72","num_op_var40_efect_ult3",4.77049695721826e-05,2.43976704359222e-05,7.47719455660236e-05,11,0.00365691489361702
"24","ind_var10cte_ult1",4.31804806099288e-05,5.24384660950126e-05,7.47719455660236e-05,309,0.102726063829787
"137","saldo_var14",4.17192818587043e-05,0.00124223988144545,0.000299087782264095,21,0.0069813829787234
"31","ind_var14_0",3.85943218653666e-05,8.39797270164753e-06,7.47719455660236e-05,24,0.00797872340425532
"51","num_aport_var13_hace3",3.81594268588092e-05,0.000187120061532073,7.47719455660236e-05,4,0.00132978723404255
"73","num_op_var40_ult1",3.6424865425505e-05,1.82221731487968e-05,0.000149543891132047,22,0.00731382978723404
"58","num_meses_var17_ult3",3.53783210169782e-05,0.000147942323341088,0.000149543891132047,2,0.000664893617021277
"13","imp_op_var40_ult1",3.40415259510399e-05,8.93486771713759e-06,0.000224315836698071,14,0.00465425531914894
"94","num_var24_0",3.16746292661746e-05,5.32987079123237e-06,7.47719455660236e-05,34,0.0113031914893617
"29","ind_var13_corto_0",3.0417743920577e-05,2.73354965322172e-06,7.47719455660236e-05,26,0.0086436170212766
"44","ind_var5",2.87211164875876e-05,2.47304309921862e-07,7.47719455660236e-05,1010,0.335771276595745
"32","ind_var19",2.41084852246221e-05,5.31296795227551e-06,0.000149543891132047,5,0.00166223404255319
"138","saldo_var17",2.14147014082847e-05,2.60897573010968e-05,7.47719455660236e-05,0,0
"99","num_var31",2.09354369694739e-05,1.63392983060366e-05,7.47719455660236e-05,3,0.000997340425531915
"37","ind_var31",2.02185164288287e-05,1.0056794779755e-05,7.47719455660236e-05,3,0.000997340425531915
"52","num_compra_var44_ult1",1.80124980853809e-05,5.25383055304511e-05,7.47719455660236e-05,2,0.000664893617021277
"89","num_var14_0",1.79432966851605e-05,3.85870403122395e-06,7.47719455660236e-05,23,0.00764627659574468
"30","ind_var14",1.7242408796506e-05,2.76342260393814e-07,7.47719455660236e-05,8,0.00265957446808511
"11","imp_op_var40_comer_ult3",1.18406802307473e-05,1.65785523571913e-06,0.000149543891132047,13,0.0043218085106383
"144","saldo_var32",6.06239314053509e-06,0.000941685329684834,7.47719455660236e-05,0,0
"4","imp_compra_var44_ult1",4.18927976584142e-06,0.00025856160066713,7.47719455660236e-05,1,0.000332446808510638
"71","num_op_var40_comer_ult3",3.87204951080098e-06,2.88952905111561e-06,7.47719455660236e-05,16,0.00531914893617021
"74","num_op_var40_ult3",7.58672549248008e-07,2.28956841662158e-07,7.47719455660236e-05,12,0.00398936170212766
